twelvth_beat,pitch,prediction,anomaly score
52.125,1.0,5.999999999999999,0.0
52.125,10.0,2.0,1.0
56.0,9.0,7.0,0.92500000000000004
56.125,10.0,2.0,1.0
56.125,10.0,2.0,1.0
60.0,11.0,2.0,1.0
60.125,10.0,2.0,1.0
64.0,10.0,2.0,1.0
64.125,10.0,2.0,1.0
64.125,10.0,2.0,1.0
68.0,1.0,1.0,0.94999999999999996
68.125,1.0,5.999999999999999,0.0
68.125,10.0,2.0,1.0
72.0,9.0,7.0,0.92500000000000004
72.125,10.0,2.0,1.0
72.125,10.0,2.0,1.0
76.0,11.0,2.0,1.0
76.125,10.0,2.0,1.0
80.0,1.0,1.0,0.94999999999999996
80.125,1.0,5.999999999999999,0.0
80.125,10.0,2.0,1.0
84.0,9.0,7.0,0.92500000000000004
84.125,10.0,2.0,1.0
84.125,10.0,2.0,1.0
88.0,10.0,2.0,1.0
88.125,10.0,2.0,1.0
88.125,10.0,2.0,1.0
92.0,11.0,2.0,1.0
92.125,10.0,2.0,1.0
96.0,10.0,2.0,1.0
96.125,10.0,2.0,1.0
96.125,10.0,2.0,1.0
98.0,10.0,2.0,1.0
98.125,10.0,2.0,1.0
98.125,10.0,2.0,1.0
100.0,11.0,2.0,1.0
100.125,10.0,2.0,1.0
102.0,11.0,2.0,1.0
102.125,10.0,2.0,1.0
104.0,1.0,1.0,0.94999999999999996
104.125,1.0,5.999999999999999,0.0
104.125,10.0,2.0,1.0
106.0,1.0,1.0,0.94999999999999996
106.125,1.0,5.999999999999999,0.0
106.125,10.0,2.0,1.0
108.0,9.0,7.0,0.92500000000000004
108.125,10.0,2.0,1.0
108.125,10.0,2.0,1.0
110.0,9.0,7.0,0.92500000000000004
110.125,10.0,2.0,1.0
110.125,10.0,2.0,1.0
112.0,10.0,2.0,1.0
112.125,10.0,2.0,1.0
112.125,10.0,2.0,1.0
114.0,10.0,2.0,1.0
114.125,10.0,2.0,1.0
114.125,10.0,2.0,1.0
116.0,11.0,2.0,1.0
116.125,10.0,2.0,1.0
118.0,11.0,2.0,1.0
118.125,10.0,2.0,1.0
120.0,1.0,1.0,0.94999999999999996
120.125,1.0,5.999999999999999,0.0
120.125,10.0,2.0,1.0
122.0,1.0,1.0,0.94999999999999996
122.125,1.0,5.999999999999999,0.0
122.125,10.0,2.0,1.0
124.0,9.0,7.0,0.92500000000000004
124.125,10.0,2.0,1.0
124.125,10.0,2.0,1.0
126.0,9.0,7.0,0.92500000000000004
126.125,10.0,2.0,1.0
126.125,10.0,2.0,1.0
128.0,10.0,2.0,1.0
128.125,10.0,2.0,1.0
128.125,10.0,2.0,1.0
132.0,1.0,1.0,0.94999999999999996
132.125,1.0,5.999999999999999,0.0
132.125,10.0,2.0,1.0
136.0,9.0,7.0,0.92500000000000004
136.125,10.0,2.0,1.0
136.125,10.0,2.0,1.0
140.0,11.0,2.0,1.0
140.125,10.0,2.0,1.0
144.0,10.0,2.0,1.0
144.125,10.0,2.0,1.0
144.125,10.0,2.0,1.0
148.0,1.0,1.0,0.94999999999999996
148.125,1.0,5.999999999999999,0.0
148.125,10.0,2.0,1.0
152.0,9.0,7.0,0.92500000000000004
152.125,10.0,2.0,1.0
152.125,10.0,2.0,1.0
156.0,11.0,2.0,1.0
156.125,10.0,2.0,1.0
160.0,1.0,1.0,0.94999999999999996
160.125,1.0,5.999999999999999,0.0
160.125,10.0,2.0,1.0
164.0,9.0,7.0,0.92500000000000004
164.125,10.0,2.0,1.0
164.125,10.0,2.0,1.0
168.0,10.0,2.0,1.0
168.125,10.0,2.0,1.0
168.125,10.0,2.0,1.0
172.0,11.0,2.0,1.0
172.125,10.0,2.0,1.0
176.0,10.0,2.0,1.0
176.125,10.0,2.0,1.0
176.125,10.0,2.0,1.0
178.0,10.0,2.0,1.0
178.125,10.0,2.0,1.0
178.125,10.0,2.0,1.0
180.0,11.0,2.0,1.0
180.125,10.0,2.0,1.0
182.0,11.0,2.0,1.0
182.125,10.0,2.0,1.0
184.0,1.0,1.0,0.94999999999999996
184.125,1.0,5.999999999999999,0.0
184.125,10.0,2.0,1.0
186.0,1.0,1.0,0.94999999999999996
186.125,1.0,5.999999999999999,0.0
186.125,10.0,2.0,1.0
188.0,9.0,7.0,0.92500000000000004
188.125,10.0,2.0,1.0
188.125,10.0,2.0,1.0
190.0,9.0,7.0,0.92500000000000004
190.125,10.0,2.0,1.0
190.125,10.0,2.0,1.0
192.0,10.0,2.0,1.0
192.125,10.0,2.0,1.0
192.125,10.0,2.0,1.0
194.0,10.0,2.0,1.0
194.125,10.0,2.0,1.0
194.125,10.0,2.0,1.0
196.0,11.0,2.0,1.0
196.125,10.0,2.0,1.0
198.0,11.0,2.0,1.0
198.125,10.0,2.0,1.0
200.0,1.0,1.0,0.94999999999999996
200.125,1.0,5.999999999999999,0.0
200.125,10.0,2.0,1.0
202.0,1.0,1.0,0.94999999999999996
202.125,1.0,5.999999999999999,0.0
202.125,10.0,2.0,1.0
204.0,9.0,7.0,0.92500000000000004
204.125,10.0,2.0,1.0
204.125,10.0,2.0,1.0
206.0,9.0,7.0,0.92500000000000004
206.125,10.0,2.0,1.0
206.125,10.0,2.0,1.0
208.0,10.0,2.0,1.0
208.125,10.0,2.0,1.0
208.125,10.0,2.0,1.0
212.0,1.0,1.0,0.94999999999999996
212.125,1.0,5.999999999999999,0.0
212.125,10.0,2.0,1.0
216.0,9.0,7.0,0.92500000000000004
216.125,10.0,2.0,1.0
216.125,10.0,2.0,1.0
220.0,11.0,2.0,1.0
220.125,10.0,2.0,1.0
224.0,10.0,2.0,1.0
224.125,10.0,2.0,1.0
224.125,10.0,2.0,1.0
226.0,10.0,2.0,1.0
226.125,10.0,2.0,1.0
226.125,10.0,2.0,1.0
228.0,11.0,2.0,1.0
228.125,10.0,2.0,1.0
230.0,11.0,2.0,1.0
230.125,10.0,2.0,1.0
232.0,1.0,1.0,0.94999999999999996
232.125,1.0,5.999999999999999,0.0
232.125,10.0,2.0,1.0
234.0,1.0,1.0,0.94999999999999996
234.125,1.0,5.999999999999999,0.0
234.125,10.0,2.0,1.0
236.0,9.0,7.0,0.92500000000000004
236.125,10.0,2.0,1.0
236.125,10.0,2.0,1.0
238.0,9.0,7.0,0.92500000000000004
238.125,10.0,2.0,1.0
238.125,10.0,2.0,1.0
240.0,10.0,2.0,1.0
240.125,10.0,2.0,1.0
240.125,10.0,2.0,1.0
242.0,10.0,2.0,1.0
242.125,10.0,2.0,1.0
242.125,10.0,2.0,1.0
244.0,11.0,2.0,1.0
244.125,10.0,2.0,1.0
246.0,11.0,2.0,1.0
246.125,10.0,2.0,1.0
248.0,1.0,1.0,0.94999999999999996
248.125,1.0,5.999999999999999,0.0
248.125,10.0,2.0,1.0
250.0,1.0,1.0,0.94999999999999996
250.125,1.0,5.999999999999999,0.0
250.125,10.0,2.0,1.0
252.0,9.0,7.0,0.92500000000000004
252.125,10.0,2.0,1.0
252.125,10.0,2.0,1.0
254.0,9.0,7.0,0.92500000000000004
254.125,10.0,2.0,1.0
